insured_address_state,Industry Code,Category,input_gl_revenue,input_gl_employee,input_gl_gl_limit,input_gl_gl_deductible,input_property_bldg_limit,input_property_num_claims,input_property_town_grade,input_property_content_limit,input_property_bldg_deductible,input_property_cont_deductible,input_property_construction_class,output_premium_crime_prem,output_premium_eq_premium,output_premium_ebi_premium,output_premium_bldg_premium,output_premium_flood_premium,output_premium_content_premium,output_premium_on_prem_gl_prem,output_premium_products_gl_prem,output_premium_business_interuption_prem,output_premium_total_total_prem,output_debug_sd_factor_bi,output_debug_sd_factor_gl,output_debug_sd_factor_prop,vlookup for column P
Ontario,5813,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$158.85,$1.17,$79.00,$0.00,$0.00,$92.46,$824.61,$0.00,$93.91,"$1,250.00",0.975,0.975,0.96,$1.17
Ontario,5814,Hospitality,"$150,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$323.75,$1.37,$79.00,$0.00,$0.00,$78.28,$612.58,$0.00,$155.02,"$1,250.00",0.975,0.975,0.96,$1.37
Ontario,5814,Hospitality,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$414.40,$1.39,$79.00,$0.00,$0.00,$100.19,$522.73,$0.00,$132.29,"$1,250.00",0.975,0.975,0.96,$1.39
Ontario,5814,Hospitality,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$414.27,$1.76,$79.00,$0.00,$0.00,$100.16,$522.57,$0.00,$132.24,"$1,250.00",0.975,0.975,0.96,$1.76
Ontario,5814,Hospitality,"$200,000.00",2,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$155.88,$1.15,$79.00,$0.00,$0.00,$69.79,$759.90,$0.00,$184.29,"$1,250.00",0.975,0.975,0.96,$1.15
Ontario,5811,Hospitality,"$150,000.00",2,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$91.95,$1.77,$79.00,$0.00,$0.00,$81.51,$871.59,$0.00,$124.18,"$1,250.00",0.975,0.975,0.96,$1.77
Ontario,5811,Hospitality,"$350,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",6,$192.00,$0.15,$79.00,$0.00,$0.00,$239.36,"$2,197.65",$0.00,$850.84,"$3,559.00",0.975,0.975,0.96,$0.15
Ontario,5811,Hospitality,"$250,000.00",6,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$192.00,$1.66,$79.00,$0.00,$0.00,$76.59,"$1,365.00",$0.00,$194.48,"$1,908.73",0.975,0.975,0.96,$1.66
Ontario,5811,Hospitality,"$100,000.00",6,"$2,000,000.00","$5,000.00",0,0,3,"$400,000.00","$1,000.00","$1,000.00",4,$192.00,$10.42,$273.00,$0.00,$0.00,$755.45,$627.90,$0.00,$47.95,"$1,906.73",0.975,0.975,0.96,$10.42
Ontario,5811,Hospitality,"$232,334.00",2,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$86.40,$0.67,$79.00,$0.00,$3.17,$239.36,"$1,268.54",$0.00,$564.80,"$2,241.95",0.975,0.975,0.96,$0.67
Ontario,5811,Hospitality,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$500,000.00","$1,000.00","$1,000.00",4,$192.00,$13.03,$326.00,$0.00,$0.00,$891.86,$627.90,$0.00,$45.29,"$2,096.07",0.975,0.975,0.96,$13.03
Ontario,5814,Hospitality,"$300,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$125,000.00","$1,000.00","$1,000.00",2,$87.95,$3.23,$136.50,$0.00,$0.00,$157.77,$739.56,$0.00,$124.99,"$1,250.00",0.975,0.975,0.96,$3.23
Ontario,5814,Hospitality,"$550,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$192.00,$0.43,$79.00,$0.00,$5.13,$145.07,"$1,332.05",$0.00,"$1,053.43","$2,807.09",0.975,0.975,0.96,$0.43
Ontario,5814,Hospitality,"$100,000.00",11,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$555.66,$0.50,$79.00,$0.00,$0.00,$82.67,$424.69,$0.00,$107.48,"$1,250.00",1,1,1,$0.50
Ontario,5814,Hospitality,"$50,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$591.05,$1.27,$79.00,$0.00,$15.15,$119.09,$367.04,$0.00,$77.41,"$1,250.00",1,1,1,$1.27
Ontario,5813,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",3,$155.82,$1.10,$79.00,$0.00,$0.00,$108.83,$796.41,$0.00,$108.83,"$1,250.00",1,1,1,$1.10
Ontario,5813,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$160.80,$1.13,$79.00,$0.00,$0.00,$93.60,$821.87,$0.00,$93.60,"$1,250.00",1,1,1,$1.13
Ontario,5814,Hospitality,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",4,$418.28,$0.63,$79.00,$0.00,$0.00,$101.13,$519.50,$0.00,$131.47,"$1,250.00",1,1,1,$0.63
Ontario,5814,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$233.98,$2.12,$79.00,$0.00,$0.00,$125.71,$645.77,$0.00,$163.42,"$1,250.00",1,1,1,$2.12
Ontario,5814,Hospitality,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",6,$292.20,$0.63,$79.00,$0.00,$7.49,$220.77,$362.91,$0.00,$287.00,"$1,250.00",1,1,1,$0.63
Ontario,5811,Hospitality,"$100,000.00",2,"$1,000,000.00","$1,000.00",0,1,3,"$25,000.00","$1,000.00","$1,000.00",4,$90.00,$0.43,$79.00,$0.00,$5.13,$119.68,$840.00,$0.00,$119.68,"$1,253.91",1,1,1,$0.43
Ontario,5811,Hospitality,"$200,000.00",2,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$90.00,$0.31,$79.00,$0.00,$5.13,$66.49,"$1,120.00",$0.00,$132.98,"$1,493.90",1,1,1,$0.31
Ontario,5811,Hospitality,"$200,000.00",1,"$1,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",3,$25.00,$0.62,$79.00,$0.00,$0.00,$79.79,"$1,120.00",$0.00,$159.57,"$1,463.98",1,1,1,$0.62
Ontario,5811,Hospitality,"$200,000.00",1,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$25.00,$0.64,$79.00,$0.00,$0.00,$66.49,"$1,288.00",$0.00,$132.98,"$1,592.10",1,1,1,$0.64
Ontario,5814,Hospitality,"$10,000.00",6,"$2,000,000.00","$2,500.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$835.54,$3.41,$79.00,$0.00,$0.00,$202.01,$103.77,$0.00,$26.26,"$1,250.00",1,1,1,$3.41
Ontario,5814,Hospitality,"$50,000.00",16,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$798.97,$0.76,$79.00,$0.00,$9.10,$85.85,$220.51,$0.00,$55.80,"$1,250.00",1,1,1,$0.76
Ontario,5814,Hospitality,"$1,000,000.00",11,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$325.00,$0.43,$79.00,$0.00,$5.13,$48.36,"$2,484.00",$0.00,$628.62,"$3,570.53",1,1,1,$0.43
Ontario,5813,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$90.00,$0.64,$79.00,$0.00,$0.00,$62.86,$920.00,$0.00,$125.72,"$1,278.22",1,1,1,$0.64
Ontario,5814,Hospitality,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$414.39,$0.89,$79.00,$0.00,$10.62,$100.19,$514.67,$0.00,$130.25,"$1,250.00",1,1,1,$0.89
Ontario,5811,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$90.00,$0.64,$79.00,$0.00,$0.00,$79.79,"$1,288.00",$0.00,$159.57,"$1,696.99",1,1,1,$0.64
Ontario,5811,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$90.00,$0.64,$79.00,$0.00,$0.00,$66.49,"$1,288.00",$0.00,$132.98,"$1,657.10",1,1,1,$0.64
Ontario,5811,Hospitality,"$200,000.00",1,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",3,$25.00,$0.64,$79.00,$0.00,$0.00,$79.79,"$1,120.00",$0.00,$159.57,"$1,463.99",1,1,1,$0.64
Ontario,5811,Hospitality,"$300,000.00",1,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$25.00,$0.64,$79.00,$0.00,$0.00,$66.49,"$1,932.00",$0.00,$199.47,"$2,302.59",1,1,1,$0.64
Ontario,5811,Hospitality,"$200,000.00",2,"$1,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$90.00,$0.64,$79.00,$0.00,$0.00,$66.49,"$1,120.00",$0.00,$132.98,"$1,489.10",1,1,1,$0.64
Ontario,5811,Hospitality,"$200,000.00",1,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$25.00,$0.53,$79.00,$0.00,$3.44,$79.79,"$1,288.00",$0.00,$159.57,"$1,635.33",1,1,1,$0.53
Ontario,5811,Hospitality,"$100,000.00",1,"$2,000,000.00","$1,000.00",0,0,3,"$20,000.00","$1,000.00","$1,000.00",2,$37.10,$0.75,$79.00,$0.00,$0.00,$78.92,$955.57,$0.00,$98.66,"$1,250.00",1,1,1,$0.75
Quebec,5811,Hospitality,"$200,000.00",1,"$2,000,000.00","$1,000.00",0,0,1,"$25,000.00","$1,000.00","$1,000.00",4,$25.00,$1.52,$79.00,$0.00,$0.00,$79.79,"$1,288.00",$0.00,$159.57,"$1,632.88",1,1,1,$1.52
Ontario,5811,Hospitality,"$100,000.00",1,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$36.47,$0.93,$79.00,$0.00,$0.00,$97.01,$939.59,$0.00,$97.01,"$1,250.00",1,1,1,$0.93
Ontario,5811,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",3,$90.00,$0.64,$79.00,$0.00,$0.00,$79.79,"$1,288.00",$0.00,$159.57,"$1,696.99",1,1,1,$0.64
Ontario,5813,Hospitality,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$155.82,$1.10,$79.00,$0.00,$0.00,$108.83,$796.41,$0.00,$108.83,"$1,250.00",1,1,1,$1.10
Ontario,5814,Hospitality,"$100,000.00",1,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$75.03,$1.29,$79.00,$0.00,$15.38,$145.13,$745.51,$0.00,$188.66,"$1,250.00",1,1,1,$1.29
Ontario,5811,Hospitality,"$300,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$90.00,$0.64,$79.00,$0.00,$0.00,$249.33,"$1,932.00",$0.00,$747.99,"$3,098.96",1,1,1,$0.64
Ontario,5811,Hospitality,"$1,000,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$200.00,$0.64,$79.00,$0.00,$0.00,$79.79,"$6,440.00",$0.00,$797.86,"$7,597.28",1,1,1,$0.64
Ontario,5811,Hospitality,"$400,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",2,$90.00,$0.64,$79.00,$0.00,$0.00,$66.49,"$2,576.00",$0.00,$265.95,"$3,078.08",1,1,1,$0.64
Ontario,5811,Hospitality,"$2,000,000.00",2,"$2,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",4,$86.40,$0.23,$79.00,$0.00,$0.00,$76.59,"$12,558.00",$0.00,"$1,555.83","$14,356.06",0.975,0.975,0.96,$0.23
Ontario,5811,Hospitality,"$200,000.00",1,"$2,000,000.00","$1,000.00",0,0,4,"$25,000.00","$1,000.00","$1,000.00",4,$25.00,$0.23,$79.00,$0.00,$0.00,$79.79,"$1,288.00",$0.00,$159.57,"$1,631.59",1,1,1,$0.23
Ontario,5811,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$90.00,$1.15,$79.00,$0.00,$13.65,$79.79,"$1,288.00",$0.00,$159.57,"$1,711.16",1,1,1,$1.15
Ontario,5811,Hospitality,"$200,000.00",1,"$2,000,000.00","$1,000.00",0,0,6,"$25,000.00","$1,000.00","$1,000.00",5,$25.00,$0.72,$79.00,$0.00,$1.28,$311.66,"$1,288.00",$0.00,$623.33,"$2,329.00",1,1,1,$0.72
Ontario,5811,Hospitality,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",6,$90.00,$1.85,$79.00,$0.00,$12.81,$249.33,"$1,288.00",$0.00,$498.66,"$2,219.66",1,1,1,$1.85
Newfoundland and Labrador,5811,Hospitality,"$200,000.00",1,"$2,000,000.00","$1,000.00",0,0,2,"$25,000.00","$1,000.00","$1,000.00",4,$25.00,$0.08,$79.00,$0.00,$0.00,$79.79,"$1,288.00",$0.00,$159.57,"$1,631.44",1,1,1,$0.08
Manitoba,5811,Hospitality,"$300,000.00",1,"$2,000,000.00","$1,000.00",0,0,2,"$25,000.00","$1,000.00","$1,000.00",2,$25.00,$0.04,$79.00,$0.00,$0.00,$66.49,"$1,932.00",$0.00,$199.47,"$2,301.99",1,1,1,$0.04
Ontario,5813,Hospitality,"$234,323.00",11,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$325.00,$0.65,$79.00,$0.00,$0.00,$62.86,"$1,077.89",$0.00,$147.30,"$1,692.70",1,1,1,$0.65
Ontario,5312,Retail,"$1,000,000.00",26,"$2,000,000.00","$1,000.00",0,0,3,"$250,000.00","$1,000.00","$1,000.00",4,$875.00,$4.27,$210.00,$0.00,$0.00,$430.56,"$2,668.00",$0.00,$430.56,"$4,618.39",1,1,1,$4.27
Ontario,5312,Retail,"$350,000.00",26,"$2,000,000.00","$1,000.00",0,0,3,"$1,000,000.00","$1,000.00","$1,000.00",4,$875.00,$17.09,$473.00,$0.00,$0.00,"$1,257.24",$933.80,$0.00,$110.01,"$3,666.13",1,1,1,$17.09
Quebec,5431,Retail,"$250,000.00",2,"$1,000,000.00","$1,000.00",0,0,4,"$500,000.00","$1,000.00","$1,000.00",4,$90.00,$41.08,$326.00,$0.00,$0.00,$563.04,$700.00,$0.00,$70.38,"$1,790.50",1,1,1,$41.08
Ontario,5994,Retail,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$90.00,$0.62,$79.00,$0.00,$5.96,$151.11,$644.00,$0.00,$302.22,"$1,272.91",1,1,1,$0.62
Ontario,5422,Retail,"$200,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$90.00,$1.10,$79.00,$0.00,$5.13,$151.11,$533.60,$0.00,$392.89,"$1,252.82",1,1,1,$1.10
Ontario,5694,Retail,"$100,000.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$148.39,$1.10,$79.00,$0.00,$0.00,$131.55,$758.42,$0.00,$131.55,"$1,250.00",1,1,1,$1.10
Ontario,5994,Retail,"$60,000.00",6,"$2,000,000.00","$1,000.00",0,1,3,"$25,000.00","$1,000.00","$1,000.00",4,$386.16,$1.22,$79.00,$0.00,$0.00,$140.05,$559.55,$0.00,$84.03,"$1,250.00",1,1,1,$1.22
Ontario,5996,Retail,"$112,111.00",2,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",5,$121.34,$1.17,$79.00,$0.00,$0.00,$264.85,$486.71,$0.00,$296.93,"$1,250.00",1,1,1,$1.17
Ontario,5694,Retail,"$100,000.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$285.44,$0.93,$79.00,$0.00,$0.37,$113.87,$656.52,$0.00,$113.87,"$1,250.00",1,1,1,$0.93
Ontario,5422,Retail,"$232,232.00",6,"$2,000,000.00","$1,000.00",0,0,3,"$25,000.00","$1,000.00","$1,000.00",4,$230.92,$0.31,$79.00,$0.00,$0.00,$55.83,$715.38,$0.00,$168.55,"$1,250.00",1,1,1,$0.31
